SEX,Age,Value
Males,From 15 to 19 years,1985781
Males,From 20 to 24 years,2190533
Males,From 25 to 29 years,2184075
Males,From 30 to 34 years,2156020
Males,From 35 to 39 years,1981925
Males,From 40 to 44 years,2196320
Males,From 45 to 49 years,2306680
Males,From 50 to 54 years,2175881
Males,From 55 to 59 years,1876216
Males,From 60 to 64 years,1726694
Males,From 65 to 69 years,1714337
Males,From 70 to 74 years,1225878
Males,75 years or over,2127615
Females,From 15 to 19 years,1882999
Females,From 20 to 24 years,2122474
Females,From 25 to 29 years,2186421
Females,From 30 to 34 years,2185508
Females,From 35 to 39 years,1998569
Females,From 40 to 44 years,2247065
Females,From 45 to 49 years,2372906
Females,From 50 to 54 years,2225247
Females,From 55 to 59 years,1923543
Females,From 60 to 64 years,1799504
Females,From 65 to 69 years,1812278
Females,From 70 to 74 years,1360477
Females,75 years or over,3028683
