Country,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 years,23 years,24 years,25 years,26 years,27 years,28 years,29 years,30 years,31 years,32 years,33 years,34 years,35 years,36 years,37 years,38 years,39 years,40 years,41 years,42 years,43 years,44 years,45 years,46 years,47 years,48 years,49 years,50 years,51 years,52 years,53 years,54 years,55 years,56 years,57 years,58 years,59 years,60 years,61 years,62 years,63 years,64 years,65 years,66 years,67 years,68 years,69 years,70 years,71 years,72 years,73 years,74 years,75 years,76 years,77 years,78 years,79 years,80 years,81 years,82 years,83 years,84 years,85 years,86 years,87 years,88 years,89 years,90 years,91 years,92 years,93 years,94 years,95 years,96 years,97 years,98 years,99 years,Open-ended age class
North East (UK),29459,30465,31206,321,36405,38252,39294,38622,36384,3463,34225,33654,3348,3348,3255,3192,31859,31874,32271,3171,29526,27619,27957,29045,29559,30855,33224,35585,35953,35576,36219,37148,3811,38944,3923,39162,38973,37896,36668,3634,36356,35441,33934,32526,31916,31765,31026,30714,31222,3187,32973,35184,32115,27291,26453,24752,22628,21011,20745,21254,21061,20192,18715,17713,16705,15496,1469,13825,12743,11276,9825,8623,7772,6827,5713,4715,4151,3657,2651,1523,1076,788,612,445,370,535
North West (UK),83614,8594,87523,87333,89,93855,97888,101203,100445,97738,96392,94711,9359,945,93307,92048,91671,91069,9123,89275,84044,80129,80768,83241,85509,891,94791,99942,100922,101522,102865,10324,103693,104539,105327,104055,102819,100447,96349,93193,91174,88841,85801,82152,80562,80727,7936,78752,8036,82082,85622,91908,83344,70081,69214,67383,62021,56691,54965,54864,53613,51084,48341,45564,4202,38872,36906,35115,32414,29183,25747,2292,20354,17643,14969,1301,11203,9424,6847,4402,3022,2522,1861,1307,829,1451
Yorkshire and The Humber,62396,63574,65768,66771,75617,81424,81979,80217,76599,73054,71969,71019,6992,70232,69205,68135,68066,6807,68465,66993,62741,59786,60644,62692,64236,67291,71422,75143,76048,75604,76258,76594,76672,76787,76955,76398,7514,73356,71107,69037,67872,6631,64042,61424,60288,60331,58924,58571,59601,60856,63423,68193,62349,53181,52205,49611,4504,40803,39993,4061,40009,38542,36434,34391,32085,29666,27775,26203,2429,21935,19437,17408,15546,13446,11528,10072,8447,7195,5378,3375,2334,1809,142,103,718,1114
East Midlands (UK),54451,55155,56164,57453,63315,66192,65707,64368,61965,59051,57664,56568,55935,56141,55756,55566,55633,56136,57156,56188,53134,51109,51955,54061,56082,58951,6252,65718,65863,66484,67939,68125,68785,69278,69218,68177,66764,64929,62738,60716,59238,57414,55466,53745,53566,53957,53191,53044,5401,55256,57589,61629,56564,48828,48707,467,41549,36751,35254,35696,34907,33078,31053,29305,27416,25568,24429,2324,21432,19404,17353,15659,1397,12231,10518,9267,7686,6602,4858,3151,2094,1659,1291,932,646,1
West Midlands (UK),69283,7124,72031,7203,73495,74919,76989,80246,80102,77557,76143,74875,74045,73995,72806,72338,72468,72161,72949,7154,67196,64445,65289,6697,68821,71946,75875,79511,8049,80649,81307,81434,81844,81965,81384,80136,79188,77224,73125,70448,69203,67314,65191,63449,6321,63529,62251,61145,6205,63686,65687,68982,63888,57026,57903,56185,50953,45411,43481,4364,42757,41279,38866,36303,33523,31259,30112,28774,26704,24018,21267,19038,16976,14777,1269,11258,95,8183,6093,3812,249,1998,1541,1056,735,1209
East of England,70784,72062,73044,72081,65207,6385,65898,71013,73931,74186,75122,74908,73985,73889,73473,73505,75127,76757,77709,77119,73746,71563,72334,74427,76502,78827,8204,85158,85618,85897,87255,88036,89115,89347,88821,87376,85415,83046,79586,76955,75619,73536,71023,68766,68032,67798,66691,66229,67345,69497,73326,80482,74604,62972,61458,59171,5359,47055,45189,46359,45803,44203,42063,40064,37649,35106,33745,32166,30031,27411,24538,21877,19501,1705,14727,12993,11605,9267,6818,4548,3169,2382,1855,1321,910,1359
London,91851,93097,93822,94003,91898,94829,102005,117975,134922,146181,156338,163461,168554,173878,17454,173037,172345,171257,168611,16298,152891,143392,138043,133693,129783,12705,125592,124156,121773,119786,118592,117444,116647,115097,11302,109765,105176,100905,97553,93518,88934,84563,81072,7742,73633,70651,68062,66014,64978,64563,6469,66692,6179,53473,51101,49184,45609,41435,40867,41894,40664,38798,37067,35266,32892,30787,29259,27602,25951,23483,2061,1818,16174,14374,12572,10716,9631,7512,6129,3836,2724,2065,1684,1239,876,1465
South East (UK),105575,10681,107798,107512,105586,104824,106355,109689,110775,108227,10701,105635,104751,105646,105359,106476,109156,111583,113932,113422,109712,107364,107983,111026,114415,118557,123149,127331,127555,127505,129824,131843,133259,133861,133724,131298,127704,123683,119004,115258,112553,108878,104556,100961,98998,97949,96083,95165,96879,100356,1058,11472,106495,90738,88397,85047,77466,68168,65468,66868,65541,62956,59927,5695,5334,50063,48289,46596,43483,397,35462,31883,2868,25157,21968,20227,17312,14295,10998,7399,4983,3859,2968,2253,1504,2448
South West (UK),61552,62993,6408,64395,68495,69067,68025,6882,67521,66191,65154,63816,62417,62105,61917,61855,6239,63054,63653,62531,59413,57579,58263,60273,62776,65942,69713,72962,73849,74608,75955,77588,79211,79575,79908,7907,77473,75603,73215,71464,70491,68976,66648,6465,64738,65327,6485,64858,66597,68918,72521,78531,72976,6342,6243,5997,54699,48339,45914,46321,45315,43376,4115,39215,36922,34834,33535,32044,30145,27629,24774,22258,20015,18,15783,14012,11997,10112,7579,4942,3387,2693,2083,1532,1087,1682
Wales,36095,37227,37584,37854,41482,43935,44157,44691,43762,41913,40723,39181,37927,3747,36905,36446,36361,36618,37236,36407,33945,32835,33004,33825,35055,36707,39023,41357,41694,4213,42875,43223,43687,44178,44898,44383,43654,43,41656,40673,40064,39289,38077,36985,37155,37725,37208,37034,37892,38944,40632,43085,39162,34026,33748,32698,30412,27788,26304,25861,25216,23959,22615,21489,20176,18832,17674,16473,15215,13813,12336,11082,10018,885,7628,6445,5724,5141,3612,2285,1528,1201,922,688,466,699
